miRNA,SM,label
hsa-miR-24-3p,451668,1
hsa-miR-4693-5p,3385,1
hsa-miR-18a-5p,2995,1
hsa-miR-34c-3p,3385,1
hsa-miR-145-5p,451668,1
hsa-miR-584-5p,5394,1
hsa-miR-218-5p,448537,1
hsa-miR-320a-3p,60750,1
hsa-miR-376c-3p,6623,1
hsa-let-7d-5p,14888,1
hsa-miR-23b-3p,444732,1
hsa-miR-451a,216326,1
hsa-miR-302b-3p,124024,1
hsa-miR-544a,5793,1
hsa-miR-191-5p,451668,1
hsa-miR-16-5p,451668,1
hsa-miR-15a-5p,444795,1
hsa-miR-122b-5p,5865,0
hsa-miR-1-3p,5222465,0
hsa-miR-24-3p,36314,0
hsa-miR-553,15939,0
hsa-miR-378i,119104,0
hsa-miR-1246,445639,0
hsa-miR-516a-5p,41867,0
hsa-miR-129-2-3p,3564,0
hsa-miR-29b-3p,10836,0
hsa-miR-187-3p,6013,0
hsa-miR-25-3p,6623,0
hsa-miR-1290,31401,0
hsa-miR-135b-5p,5394,0
hsa-miR-519c-3p,784,0
hsa-miR-1915-3p,60953,0
hsa-miR-575,5281708,0
hsa-miR-184,146160902,0
hsa-miR-365a-3p,3220,0
hsa-miR-363-3p,123631,0
hsa-miR-25-5p,148124,0
hsa-miR-27b-3p,3564,0
hsa-miR-142-5p,445639,0
hsa-miR-4804-5p,54670067,0
hsa-miR-3662,119104,0
hsa-miR-342-5p,3028194,0
hsa-miR-518c-5p,387447,0
hsa-miR-100-5p,3071,0
hsa-miR-519c-5p,72304,0
hsa-miR-506-3p,4212,0
hsa-miR-612,5352624,0
hsa-let-7e-5p,969516,0
hsa-miR-520f-3p,15625,0
hsa-miR-551b-3p,21109,0
hsa-miR-614,7222,0
hsa-miR-320a-3p,265237,0
hsa-miR-615-3p,2375,0
hsa-miR-34a-5p,3121,0
hsa-miR-561-3p,444796,0
hsa-miR-141-3p,4212,0
hsa-miR-323a-3p,544,0
hsa-miR-508-3p,784,0
hsa-miR-616-5p,265237,0
hsa-miR-323a-3p,2662,0
hsa-miR-216b-5p,6013,0
hsa-miR-141-3p,6445533,0
hsa-miR-877-3p,15939,0
hsa-miR-299-3p,5280961,0
hsa-miR-214-3p,119307,0
hsa-miR-940,5318517,0
hsa-miR-518d-5p,444796,0
hsa-miR-662,9949648,0
hsa-miR-4428,54670067,0
hsa-miR-33b-5p,4624,0
hsa-miR-324-5p,7222,0
hsa-miR-590-5p,5073,0
hsa-miR-32-3p,60750,0
hsa-miR-647,985,0
hsa-miR-186-3p,5352624,0
hsa-miR-10b-5p,969516,0
hsa-miR-219a-1-3p,2662,0
hsa-miR-1228-5p,229455,0
hsa-miR-103a-3p,5318517,0
hsa-miR-186-3p,60852,0
hsa-miR-492,5790,0
hsa-miR-3668,5394,0
hsa-miR-936,2272,0
hsa-miR-940,2733526,0
hsa-miR-513a-3p,444797,0
hsa-miR-3648,15939,0
hsa-miR-1255a,3121,0
hsa-miR-370-3p,985,0
hsa-miR-302c-3p,97226,0
hsa-miR-760,5281708,0
hsa-miR-502-3p,89594,0
hsa-miR-636,73581,0
hsa-miR-4662a-3p,5865,0
hsa-miR-525-3p,445580,0
hsa-miR-190b-5p,5757,0
hsa-miR-127-5p,2375,0
hsa-miR-636,60823,0
hsa-miR-495-3p,445154,0
hsa-miR-877-5p,10635,0
hsa-miR-1469,638278,0
hsa-miR-330-3p,5790,0
hsa-miR-488-3p,164676,0
hsa-miR-3682-3p,21109,0
hsa-miR-183-5p,5280961,0
hsa-miR-106a-5p,452548,0
hsa-miR-216a-5p,4158,0
hsa-miR-4674,47318,0
hsa-miR-302d-3p,114900,0
hsa-miR-150-3p,15939,0
hsa-let-7g-5p,60852,0
hsa-miR-4252,14403,0
hsa-miR-892b,119104,0
hsa-miR-216a-5p,216326,0
hsa-miR-409-5p,13089,0
hsa-miR-3663-3p,229455,0
hsa-miR-29c-3p,5865,0
hsa-miR-1228-5p,122634,0
hsa-miR-634,122634,0
hsa-miR-33a-5p,5743,0
hsa-miR-130b-3p,7489,0
hsa-miR-450a-5p,2662,0
hsa-miR-548b-3p,3229,0
hsa-miR-382-5p,5743,0
hsa-miR-181a-3p,216326,0
hsa-miR-498-5p,638278,0
hsa-miR-135a-5p,452548,0
hsa-miR-374b-5p,135398735,0
hsa-miR-151a-5p,216239,0
hsa-miR-373-3p,122634,0
hsa-miR-593-3p,446220,0
hsa-let-7d-3p,5280448,0
hsa-miR-489-5p,5865,0
hsa-miR-525-3p,6842,0
hsa-miR-1291,122634,0
hsa-miR-449b-3p,2578,0
hsa-miR-16-5p,444796,0
hsa-miR-372-3p,21109,0
hsa-miR-106b-5p,638278,0
hsa-miR-20a-5p,14888,0
hsa-miR-193a-3p,2733526,0
hsa-miR-4453,24288,0
hsa-miR-323a-3p,53232,0
hsa-miR-216a-5p,5311,0
hsa-miR-3648,460612,0
hsa-miR-320d,25113114,0
hsa-miR-570-3p,60750,0
hsa-miR-499a-5p,3071,0
hsa-miR-584-5p,5282350,0
hsa-miR-590-3p,784,0
hsa-miR-148b-3p,5994,0
hsa-miR-369-3p,56842238,0
hsa-miR-4703-5p,9804992,0
hsa-miR-1915-3p,6445533,0
hsa-miR-521,73581,0
hsa-miR-607,9804992,0
hsa-miR-583,24360,0
hsa-miR-519d-3p,3220,0
hsa-miR-1226-5p,107985,0
hsa-miR-92b-3p,5288209,0
hsa-miR-106b-3p,275182,0
hsa-miR-627-5p,5280453,0
hsa-miR-671-5p,444795,0
hsa-miR-1260b,13089,0
hsa-miR-202-5p,241,0
hsa-miR-1-3p,11953817,0
hsa-miR-10b-3p,24360,0
hsa-let-7f-5p,5329102,0
hsa-miR-1908-5p,444795,0
hsa-miR-30d-5p,3229,0
hsa-miR-515-3p,445639,0
hsa-miR-3945,148124,0
hsa-miR-146a-5p,442793,0
hsa-miR-4745-5p,5288826,0
hsa-miR-296-5p,3117,0
hsa-miR-523-3p,5352624,0
hsa-miR-623,123631,0
hsa-miR-4779,15939,0
hsa-miR-195-5p,7489,0
hsa-miR-30d-5p,56842238,0
hsa-miR-875-3p,21109,0
hsa-miR-423-5p,15,0
hsa-miR-500a-5p,6013,0
hsa-miR-616-5p,11953817,0
hsa-miR-517a-3p,5318517,0
hsa-miR-15b-3p,712,0
hsa-miR-16-1-3p,445580,0
hsa-miR-608,444732,0
hsa-miR-518d-3p,5743,0
hsa-miR-650,265237,0
hsa-miR-1260a,5284373,0
hsa-miR-4735-3p,3028194,0
hsa-miR-328-3p,444795,0
hsa-miR-30a-5p,5288209,0
hsa-miR-374b-5p,42611257,0
hsa-miR-576-5p,3117,0
hsa-miR-659-3p,5978,0
hsa-miR-875-3p,1832,0
hsa-miR-1228-5p,3028194,0
hsa-miR-875-3p,14888,0
hsa-miR-23b-3p,784,0
hsa-miR-149-5p,544,0
hsa-miR-675-5p,162282,0
hsa-miR-502-3p,60750,0
hsa-miR-4633-5p,123631,0
hsa-miR-4476,11953817,0
hsa-miR-524-5p,1175,0
hsa-miR-185-5p,5311,0
hsa-miR-581,60953,0
hsa-miR-20a-5p,3386,0
hsa-miR-409-3p,5352624,0
hsa-miR-99b-3p,3229,0
hsa-miR-219a-1-3p,24497,0
hsa-miR-188-5p,119104,0
hsa-miR-30c-2-3p,444797,0
hsa-miR-4450,119104,0
hsa-miR-548d-5p,53232,0
hsa-miR-551a,60823,0
hsa-miR-1912-3p,445639,0
hsa-miR-548b-3p,9547215,0
hsa-miR-507,241,0
hsa-miR-655-3p,5352624,0
hsa-miR-199a-5p,4095,0
hsa-miR-551b-3p,5073,0
hsa-miR-342-5p,25113114,0
hsa-miR-659-3p,5288826,0
hsa-miR-1207-5p,3564,0
hsa-miR-30e-5p,21633059,0
hsa-miR-429,455658,0
hsa-miR-505-3p,6445533,0
hsa-miR-211-5p,936,0
hsa-miR-605-5p,5288826,0
hsa-miR-95-5p,15,0
hsa-miR-519a-3p,164676,0
hsa-miR-615-3p,9547215,0
hsa-miR-518e-3p,114900,0
hsa-miR-611,6623,0
hsa-miR-4464,451668,0
hsa-miR-154-5p,5743,0
hsa-miR-1827,2375,0
hsa-miR-507,107985,0
hsa-miR-4693-5p,5280448,0
hsa-miR-365a-3p,4091,0
hsa-miR-18b-3p,5311,0
hsa-miR-337-3p,21109,0
hsa-miR-374c-5p,24360,0
hsa-miR-525-3p,5394,0
hsa-miR-4716-3p,444797,0
hsa-miR-346,452548,0
hsa-miR-374c-5p,3902,0
hsa-miR-874-3p,7222,0
hsa-miR-3167,107985,0
hsa-miR-31-5p,10635,0
hsa-miR-454-3p,25113114,0
hsa-miR-138-5p,784,0
hsa-miR-30e-3p,42611257,0
hsa-miR-215-5p,3652,0
hsa-miR-921,164676,0
hsa-miR-525-5p,31703,0
hsa-miR-518a-3p,146160902,0
hsa-miR-29a-5p,41867,0
hsa-miR-518f-3p,2733526,0
hsa-miR-140-5p,21109,0
hsa-miR-548c-3p,5222465,0
hsa-miR-149-3p,216239,0
hsa-miR-526a-5p,122634,0
hsa-miR-133a-3p,162282,0
hsa-miR-151a-5p,2995,0
hsa-let-7b-5p,9949648,0
hsa-miR-4779,5280453,0
hsa-miR-142-5p,42611257,0
hsa-miR-518a-5p,5743,0
hsa-miR-15b-5p,444796,0
hsa-miR-150-3p,41867,0
hsa-miR-373-3p,89594,0
hsa-miR-520e-3p,5222465,0
hsa-miR-302b-5p,123596,0
hsa-miR-518a-5p,2375,0
hsa-miR-106b-3p,387447,0
hsa-miR-105-5p,4624,0
hsa-miR-1227-3p,445639,0
hsa-miR-411-3p,123631,0
hsa-miR-222-3p,114900,0
hsa-miR-381-3p,60823,0
hsa-miR-518d-3p,122634,0
hsa-miR-181d-5p,60852,0
hsa-miR-889-5p,5280795,0
hsa-miR-634,5280795,0
hsa-miR-1255a,47318,0
hsa-let-7c-5p,47318,0
hsa-miR-130a-3p,3386,0
hsa-miR-99b-5p,135398735,0
hsa-miR-3133,2578,0
hsa-miR-320c,444732,0
hsa-miR-28-5p,164676,0
hsa-miR-154-5p,9576410,0
hsa-miR-9-5p,5284373,0
hsa-miR-193b-3p,14888,1
hsa-miR-106b-5p,6623,1
hsa-miR-514a-3p,148124,1
hsa-miR-15a-5p,969516,1
hsa-miR-127-3p,5311,1
hsa-miR-424-5p,451668,1
hsa-miR-196b-5p,119307,1
hsa-miR-629-5p,54670067,1
hsa-miR-3163,3385,1
hsa-miR-627-5p,444732,1
hsa-miR-543,5280795,1
hsa-let-7a-5p,21633059,1
hsa-miR-506-3p,5793,1
hsa-miR-27a-5p,702,1
hsa-miR-106a-5p,6623,1
hsa-miR-450b-5p,5793,1
hsa-miR-149-3p,146160902,1
hsa-miR-23b-3p,5793,1
hsa-miR-605-5p,6942,1
hsa-miR-596,5793,1
hsa-miR-181b-5p,119307,1
hsa-miR-514a-3p,36314,1
hsa-miR-20a-5p,451668,1
hsa-miR-638,451668,1
hsa-miR-378a-3p,451668,1
hsa-miR-205-5p,3229,1
hsa-miR-134-5p,123631,1
hsa-miR-135b-5p,3385,1
hsa-miR-490-5p,54670067,1
hsa-miR-137-3p,60953,1
hsa-miR-342-5p,5793,1
hsa-miR-140-5p,46937290,1
hsa-miR-107,444795,1
hsa-miR-193b-3p,445580,1
hsa-miR-718,54670067,1
hsa-miR-767-3p,119307,1
hsa-miR-21-5p,21109,1
hsa-miR-21-5p,3385,1
hsa-miR-660-5p,5283344,1
hsa-miR-3133,3385,1
hsa-miR-203a-3p,7489,1
hsa-miR-9-3p,5311,1
hsa-miR-1-3p,2375,1
hsa-miR-20a-5p,47318,1
hsa-miR-638,6623,1
hsa-miR-200c-3p,5757,1
hsa-miR-146b-5p,444732,1
hsa-miR-663a,6013,1
hsa-miR-1291,31703,1
hsa-miR-668-3p,702,1
hsa-miR-153-3p,444732,1
hsa-miR-3911,3385,1
hsa-miR-182-5p,444732,1
hsa-miR-214-3p,451668,1
hsa-miR-633,3385,1
hsa-miR-519c-3p,73581,1
hsa-miR-16-5p,460612,1
hsa-miR-16-5p,444795,1
hsa-miR-630,97226,1
hsa-miR-494-3p,451668,1
hsa-miR-29a-3p,5280453,1
hsa-miR-146a-5p,122634,1
hsa-miR-299-3p,5311,1
hsa-miR-500a-5p,60838,1
hsa-miR-515-5p,451668,1
hsa-miR-16-5p,5702198,1
hsa-miR-770-5p,97226,1
hsa-miR-375-3p,10635,1
hsa-miR-22-3p,5280453,1
hsa-miR-30c-1-3p,5994,1
hsa-miR-25-3p,444732,1
hsa-miR-4703-5p,3385,1
hsa-miR-298,5793,1
hsa-miR-208b-3p,56842238,1
hsa-miR-148a-3p,36314,1
hsa-miR-196a-5p,14888,1
hsa-miR-1291,4212,1
hsa-miR-661,60823,1
hsa-miR-502-5p,148124,1
hsa-miR-1226-5p,5790,1
hsa-miR-191-5p,5280795,1
hsa-miR-501-5p,5790,1
hsa-miR-26b-5p,146160902,1
hsa-miR-4635,3385,1
hsa-miR-26b-5p,36462,1
hsa-miR-93-5p,444732,1
hsa-miR-744-3p,5311,1
hsa-miR-205-5p,241,1
hsa-miR-518a-5p,448537,1
hsa-miR-28-5p,10836,1
hsa-miR-548d-5p,60823,1
hsa-miR-146a-5p,6623,1
hsa-miR-361-3p,119307,1
hsa-miR-139-3p,46937290,1
hsa-miR-183-5p,451668,1
hsa-miR-134-5p,5311,1
hsa-miR-224-5p,60823,1
hsa-miR-98-5p,5757,1
hsa-miR-16-5p,60750,1
hsa-miR-21-5p,969516,1
hsa-miR-20a-5p,444732,1
hsa-miR-23b-3p,451668,1
hsa-miR-30a-3p,216239,1
hsa-miR-137-3p,5394,1
hsa-miR-155-5p,444732,1
hsa-miR-149-3p,2662,1
hsa-miR-137-3p,5394,1
hsa-let-7a-5p,444795,1
hsa-miR-34a-5p,46937290,1
hsa-let-7b-5p,25113114,1
hsa-miR-103a-3p,451668,1
hsa-miR-124-3p,14888,1
hsa-miR-1290,119307,1
hsa-miR-199a-5p,229455,1
hsa-miR-125b-5p,2375,1
hsa-miR-2052,3385,1
hsa-miR-4271,3385,1
hsa-miR-30a-5p,445580,1
hsa-miR-181a-5p,3229,1
hsa-miR-125b-5p,47725,1
hsa-miR-331-3p,5280795,1
hsa-miR-711,3385,1
hsa-miR-23a-5p,60838,1
hsa-miR-376a-3p,5311,1
hsa-miR-374b-5p,5280795,1
hsa-miR-188-5p,119307,1
hsa-miR-181c-5p,14888,1
hsa-miR-193a-3p,124024,1
hsa-miR-21-5p,89594,1
hsa-miR-3974,5702198,1
hsa-miR-122-5p,387447,1
hsa-miR-664a-3p,119307,1
hsa-miR-222-3p,46937290,1
hsa-miR-200c-3p,14888,1
hsa-miR-375-3p,31703,1
hsa-miR-210-3p,5394,1
hsa-miR-23a-3p,3385,1
hsa-miR-629-5p,216239,1
hsa-miR-337-5p,5311,1
hsa-miR-181a-5p,445639,1
hsa-miR-29b-3p,146160902,1
hsa-miR-221-3p,5280795,1
hsa-miR-1225-5p,54670067,1
hsa-miR-134-5p,5280453,1
hsa-miR-142-5p,5702198,1
hsa-miR-638,31401,1
hsa-miR-92b-3p,9949648,1
hsa-miR-34a-5p,5282350,1
hsa-miR-323a-5p,46937290,1
hsa-miR-155-5p,3385,1
hsa-miR-23a-3p,146160902,1
hsa-miR-200c-3p,3385,1
hsa-miR-564,54670067,1
hsa-miR-204-5p,5702198,1
hsa-miR-425-5p,5311,1
hsa-miR-374b-5p,445580,1
hsa-miR-422a,448537,1
hsa-miR-335-5p,114900,1
hsa-miR-33b-5p,53232,1
hsa-let-7f-5p,5757,1
hsa-let-7d-5p,241,1
hsa-miR-501-5p,3385,1
hsa-miR-586,60823,1
hsa-miR-574-5p,3385,1
hsa-miR-145-5p,5394,1
hsa-miR-770-5p,60823,1
hsa-miR-99b-5p,5280795,1
hsa-miR-194-5p,444732,1
hsa-miR-621,448537,1
hsa-miR-1915-3p,5280453,1
hsa-miR-98-5p,5280453,1
hsa-let-7a-5p,3229,1
hsa-miR-135a-5p,119307,1
hsa-miR-219a-5p,702,1
hsa-miR-193a-3p,451668,1
hsa-miR-30a-5p,3229,1
hsa-miR-146b-5p,5994,1
hsa-miR-497-5p,702,1
hsa-miR-23b-3p,5757,1
hsa-miR-200c-3p,6445533,1
hsa-miR-34b-3p,451668,1
hsa-miR-671-5p,3385,1
hsa-miR-381-3p,2375,1
hsa-miR-449b-5p,31703,1
hsa-let-7d-5p,5394,1
hsa-miR-3663-3p,119307,1
hsa-miR-1225-5p,119307,1
hsa-miR-335-5p,15625,1
hsa-miR-760,451668,1
hsa-miR-4284,275182,1
hsa-miR-30c-5p,5288826,1
hsa-miR-26a-5p,448537,1
hsa-miR-328-3p,3117,1
hsa-let-7f-5p,3902,1
hsa-miR-559,444732,1
hsa-miR-106b-5p,985,1
hsa-miR-146a-5p,46937290,1
hsa-miR-21-5p,60750,1
hsa-miR-23b-3p,5702198,1
hsa-miR-199a-3p,14888,1
hsa-miR-30b-5p,451668,1
hsa-miR-1915-3p,54670067,1
hsa-miR-200c-3p,5793,1
hsa-miR-936,3385,1
hsa-miR-30c-5p,146160902,1
hsa-miR-223-3p,46937290,1
hsa-miR-98-5p,146160902,1
hsa-let-7g-5p,6623,1
hsa-miR-16-5p,969516,1
hsa-miR-133a-3p,3385,1
hsa-miR-183-3p,31703,1
hsa-let-7b-5p,5757,1
hsa-miR-126-3p,451668,1
hsa-miR-196b-5p,216326,1
hsa-miR-1-3p,985,1
hsa-miR-371a-5p,5280453,1
hsa-miR-148b-3p,14888,1
hsa-miR-218-5p,14888,1
hsa-miR-572,97226,1
hsa-miR-200a-3p,2336,1
hsa-miR-708-5p,54670067,1
hsa-miR-223-3p,10836,1
hsa-miR-125b-5p,451668,1
hsa-miR-507,5793,1
hsa-miR-181d-5p,451668,1
hsa-miR-150-5p,123596,1
hsa-miR-520f-3p,448537,1
hsa-miR-200b-3p,444795,1
hsa-miR-129-2-3p,5311,1
hsa-miR-23b-3p,451668,1
hsa-miR-93-5p,451668,1
hsa-let-7a-5p,124024,1
hsa-miR-146b-5p,46937290,1
hsa-miR-27a-3p,444732,1
hsa-miR-671-5p,448537,1
hsa-miR-194-5p,448537,1
hsa-miR-150-5p,10836,1
hsa-miR-375-3p,54670067,1
hsa-miR-181c-5p,119307,1
hsa-miR-181b-5p,60750,1
hsa-miR-367-3p,229455,1
hsa-miR-16-5p,444732,1
hsa-miR-24-3p,60750,1
hsa-miR-9-5p,14888,1
hsa-miR-203b-3p,3385,1
hsa-miR-518b,448537,1
hsa-miR-367-3p,36314,1
hsa-miR-145-5p,31703,1
hsa-miR-320a-3p,5702198,1
hsa-miR-411-5p,5280453,1
hsa-miR-24-3p,5284373,1
hsa-miR-32-5p,702,1
hsa-miR-205-5p,124024,1
hsa-miR-23a-3p,969516,1
hsa-miR-1915-3p,3385,1
hsa-miR-1915-3p,6623,1
hsa-miR-22-3p,448537,1
hsa-miR-195-5p,146160902,1
hsa-miR-342-3p,46937290,1
hsa-miR-651-5p,448537,1
hsa-miR-21-5p,544,1
hsa-miR-25-3p,451668,1
hsa-miR-107,6942,1
hsa-miR-99a-5p,46937290,1
hsa-miR-25-3p,3385,1
hsa-miR-4774-5p,3385,1
hsa-miR-542-3p,5311,1
hsa-miR-887-5p,47725,1
hsa-miR-200b-3p,25113114,1
hsa-let-7a-5p,3385,1
hsa-miR-126-3p,448537,1
hsa-miR-27b-3p,446220,1
hsa-miR-124-3p,5311,1
hsa-miR-18a-5p,124024,1
hsa-miR-4804-5p,3385,1
hsa-miR-502-3p,46937290,1
hsa-miR-551a,448537,1
hsa-miR-34c-5p,14888,1
hsa-miR-622,42611257,0
hsa-miR-634,3229,0
hsa-miR-379-5p,445154,0
hsa-miR-502-3p,60838,0
hsa-miR-579-3p,8642,0
hsa-miR-644a,2662,0
hsa-miR-30d-5p,5394,0
hsa-miR-302d-3p,667639,0
hsa-miR-516a-5p,135398735,0
hsa-miR-487a-3p,387447,0
hsa-miR-938,15,0
hsa-miR-1469,31401,0
hsa-miR-544a,985,0
hsa-miR-492,216326,0
hsa-miR-891a-5p,445580,0
hsa-miR-518d-5p,2733526,0
hsa-miR-561-3p,5318517,0
hsa-miR-432-5p,3564,0
hsa-miR-149-3p,21109,0
hsa-miR-22-3p,41867,0
hsa-miR-584-5p,97226,0
hsa-miR-4759,53232,0
hsa-miR-512-5p,784,0
hsa-let-7f-5p,969516,0
hsa-miR-4716-3p,13342,0
hsa-miR-509-5p,5702198,0
hsa-miR-572,60953,0
hsa-miR-142-3p,3220,0
hsa-miR-1262,60953,0
hsa-miR-126-5p,969516,0
hsa-miR-877-3p,60953,0
hsa-miR-4778-5p,5284373,0
hsa-let-7a-5p,3220,0
hsa-miR-423-5p,5288209,0
hsa-miR-23a-5p,7489,0
hsa-miR-503-5p,164676,0
hsa-miR-572,9444,0
hsa-miR-30e-5p,2336,0
hsa-miR-513a-5p,6013,0
hsa-miR-28-5p,667639,0
hsa-miR-485-5p,387447,0
hsa-miR-3133,452548,0
hsa-miR-18a-5p,107985,0
hsa-miR-491-5p,5757,0
hsa-miR-503-5p,5757,0
hsa-miR-196a-5p,24360,0
hsa-miR-99a-5p,8642,0
hsa-miR-522-3p,6089,0
hsa-miR-25-5p,5280795,0
hsa-miR-29b-1-5p,3564,0
hsa-miR-4804-5p,7489,0
hsa-miR-320a-3p,9576410,0
hsa-miR-892b,444797,0
hsa-miR-3614-3p,14403,0
hsa-miR-152-3p,5310940,0
hsa-miR-636,5318517,0
hsa-miR-367-3p,10635,0
hsa-miR-507,6089,0
hsa-miR-188-5p,455658,0
hsa-miR-92b-3p,544,0
hsa-miR-296-5p,4158,0
hsa-miR-4652-5p,13342,0
hsa-miR-550a-5p,119307,0
hsa-miR-17-3p,444732,0
hsa-miR-620,2578,0
hsa-miR-93-5p,135398735,0
hsa-miR-548f-5p,114900,0
hsa-miR-4306,216239,0
hsa-miR-3606-5p,455658,0
hsa-miR-598-5p,42611257,0
hsa-let-7b-3p,4091,0
hsa-miR-617,114900,0
hsa-miR-568,4091,0
hsa-miR-4327,5865,0
hsa-miR-3127-5p,667639,0
hsa-miR-27a-5p,23973,0
hsa-miR-3134,60750,0
hsa-miR-18a-5p,24497,0
hsa-miR-193a-3p,936,0
hsa-miR-140-5p,146160902,0
hsa-miR-3907,24288,0
hsa-miR-542-5p,241,0
hsa-miR-617,229455,0
hsa-miR-598-5p,4095,0
hsa-miR-130b-3p,31101,0
hsa-miR-326,5280453,0
hsa-miR-2052,3564,0
hsa-miR-34b-5p,119307,0
hsa-miR-448,119307,0
hsa-miR-124-3p,448537,0
hsa-miR-4778-5p,5743,0
hsa-miR-564,265237,0
hsa-miR-518f-3p,6623,0
hsa-miR-143-5p,123631,0
hsa-miR-4284,445154,0
hsa-miR-23a-3p,21109,0
hsa-miR-30b-5p,3220,0
hsa-miR-183-5p,3121,0
hsa-miR-99b-5p,6623,0
hsa-miR-15a-3p,47318,0
hsa-miR-4306,60750,0
hsa-miR-3125,21109,0
hsa-miR-662,6842,0
hsa-miR-363-3p,460612,0
hsa-miR-655-3p,5743,0
hsa-miR-641,7222,0
hsa-miR-320c,24288,0
hsa-miR-101-5p,444795,0
hsa-miR-4284,60838,0
hsa-miR-603,107985,0
hsa-miR-153-3p,5310940,0
hsa-miR-498-5p,46843772,0
hsa-miR-519c-3p,985,0
hsa-miR-544a,60750,0
hsa-miR-3153,455658,0
hsa-miR-23b-5p,455658,0
hsa-miR-138-2-3p,3385,0
hsa-miR-891a-5p,60823,0
hsa-miR-647,146160902,0
hsa-miR-568,5743,0
hsa-miR-374b-5p,5318517,0
hsa-miR-4281,4158,0
hsa-miR-183-5p,5757,0
hsa-miR-96-5p,15,0
hsa-miR-19b-3p,4212,0
hsa-miR-214-3p,5288826,0
hsa-miR-135a-3p,31703,0
hsa-miR-153-3p,5994,0
hsa-miR-3133,451668,0
hsa-miR-187-3p,5281708,0
hsa-miR-936,5816,0
hsa-miR-17-5p,3564,0
hsa-miR-195-5p,2336,0
hsa-miR-325,5280448,0
hsa-miR-550a-3p,265237,0
hsa-miR-520f-3p,216239,0
hsa-miR-34a-5p,216239,0
hsa-miR-128-2-5p,5280795,0
hsa-miR-26a-5p,24360,0
hsa-miR-323a-5p,462382,0
hsa-miR-34a-5p,164676,0
hsa-miR-15a-3p,460612,0
hsa-miR-28-5p,8642,0
hsa-miR-122b-5p,448537,0
hsa-miR-629-5p,41867,0
hsa-miR-3651,6013,0
hsa-miR-200b-3p,3220,0
hsa-miR-148b-3p,10635,0
hsa-miR-451a,2733526,0
hsa-miR-9-3p,445154,0
hsa-miR-454-5p,5222465,0
hsa-miR-187-5p,4158,0
hsa-miR-374c-5p,42611257,0
hsa-miR-345-5p,702,0
hsa-miR-875-3p,5394,0
hsa-miR-325,5282350,0
hsa-miR-4639-5p,5394,0
hsa-miR-766-3p,5329102,0
hsa-miR-1290,73581,0
hsa-miR-3914,122634,0
hsa-miR-520f-3p,5743,0
hsa-miR-148b-3p,3652,0
hsa-miR-658,5865,0
hsa-miR-4700-5p,3902,0
hsa-miR-1225-5p,1832,0
hsa-miR-411-5p,6842,0
hsa-miR-143-5p,123596,0
hsa-miR-590-5p,119104,0
hsa-miR-4703-5p,47725,0
hsa-miR-15a-5p,5311,0
hsa-miR-9-5p,9547215,0
hsa-miR-642a-5p,5978,0
hsa-miR-500a-5p,2662,0
hsa-miR-3911,14403,0
hsa-miR-128-3p,702,0
hsa-miR-758-3p,452548,0
hsa-miR-647,10635,0
hsa-miR-3668,119307,0
hsa-miR-129-2-3p,667639,0
hsa-miR-1291,47725,0
hsa-miR-27a-3p,6623,0
hsa-miR-553,638278,0
hsa-miR-411-5p,5073,0
hsa-miR-137-3p,4158,0
hsa-miR-183-5p,60953,0
hsa-miR-185-5p,5743,0
hsa-miR-191-3p,2336,0
hsa-miR-323a-5p,5283344,0
hsa-miR-373-5p,60852,0
hsa-miR-4635,72304,0
hsa-miR-141-3p,5073,0
hsa-miR-302b-5p,387447,0
hsa-miR-3668,97226,0
hsa-miR-199a-3p,5793,0
hsa-miR-154-5p,446220,0
hsa-let-7i-5p,5311,0
hsa-miR-4475,784,0
hsa-miR-139-5p,5318517,0
hsa-miR-200a-3p,638278,0
hsa-miR-3192-5p,15,0
hsa-miR-186-5p,42611257,0
hsa-miR-205-5p,5280448,0
hsa-miR-4327,23973,0
hsa-miR-18a-5p,445639,0
hsa-miR-502-3p,702,0
hsa-miR-302f,14403,0
hsa-miR-212-3p,544,0
hsa-miR-299-5p,444732,0
hsa-miR-195-5p,97226,0
hsa-miR-140-5p,11953817,0
hsa-miR-105-5p,4091,0
hsa-miR-188-5p,5284373,0
hsa-miR-668-3p,5329102,0
hsa-miR-320c,6013,0
hsa-miR-150-5p,24497,0
hsa-miR-29b-1-5p,5222465,0
hsa-miR-521,11953817,0
hsa-miR-1207-5p,7489,0
hsa-miR-10a-5p,448537,0
hsa-miR-205-5p,5394,0
hsa-miR-532-5p,241,0
hsa-miR-3180-5p,5816,0
hsa-miR-518a-3p,5288209,0
hsa-miR-199a-5p,5280795,0
hsa-miR-26b-3p,31101,0
hsa-miR-653-5p,60823,0
hsa-miR-143-3p,442793,0
hsa-miR-20b-5p,1832,0
hsa-miR-4779,5793,0
hsa-miR-200b-3p,451668,0
hsa-miR-371a-5p,5288826,0
hsa-miR-520c-3p,135398735,0
hsa-miR-519c-3p,5310940,0
hsa-miR-519d-3p,5702198,0
hsa-miR-523-3p,5284373,0
hsa-miR-185-5p,8642,0
hsa-miR-636,146160902,0
hsa-miR-331-5p,275182,0
hsa-miR-92a-3p,4158,0
hsa-let-7a-3p,21109,0
hsa-miR-493-3p,6089,0
hsa-miR-23b-5p,9547215,0
hsa-miR-877-5p,11953817,0
hsa-miR-4796-3p,2733526,0
